"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.7","192.168.1.1","DNS","91","Standard query 0x5972 A browser.pipe.aria.microsoft.com"
"2","0.016803","192.168.1.1","192.168.1.7","DNS","216","Standard query response 0x5972 A browser.pipe.aria.microsoft.com CNAME browser.events.data.trafficmanager.net CNAME onedscolprdweu03.westeurope.cloudapp.azure.com A 13.69.109.131"
"3","0.018462","192.168.1.7","13.69.109.131","TCP","66","53663  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.212992","13.69.109.131","192.168.1.7","TCP","66","443  >  53663 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM=1"
"5","0.213162","192.168.1.7","13.69.109.131","TCP","54","53663  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"6","0.214787","192.168.1.7","13.69.109.131","TLSv1.2","571","Client Hello"
"7","0.279681","fe80::ccbc:b8e4:5903:4178","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"8","0.279770","192.168.1.2","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"9","0.375027","fe80::ccbc:b8e4:5903:4178","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"10","0.375027","192.168.1.2","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"11","0.380597","192.168.1.2","224.0.0.251","MDNS","81","Standard query 0x0000 ANY DESKTOP-CHT08BN.local, ""QM"" question"
"12","0.380597","fe80::ccbc:b8e4:5903:4178","ff02::fb","MDNS","101","Standard query 0x0000 ANY DESKTOP-CHT08BN.local, ""QM"" question"
"13","0.381490","fe80::ccbc:b8e4:5903:4178","ff02::fb","MDNS","139","Standard query response 0x0000 AAAA fe80::ccbc:b8e4:5903:4178 A 192.168.1.2"
"14","0.381490","192.168.1.2","224.0.0.251","MDNS","119","Standard query response 0x0000 AAAA fe80::ccbc:b8e4:5903:4178 A 192.168.1.2"
"15","0.381946","fe80::ccbc:b8e4:5903:4178","ff02::1:3","LLMNR","95","Standard query 0xd17f ANY DESKTOP-CHT08BN"
"16","0.382811","192.168.1.2","224.0.0.252","LLMNR","75","Standard query 0xd17f ANY DESKTOP-CHT08BN"
"17","0.384043","192.168.1.2","224.0.0.251","MDNS","81","Standard query 0x0000 ANY DESKTOP-CHT08BN.local, ""QM"" question"
"18","0.385520","fe80::ccbc:b8e4:5903:4178","ff02::fb","MDNS","101","Standard query 0x0000 ANY DESKTOP-CHT08BN.local, ""QM"" question"
"19","0.390196","fe80::ccbc:b8e4:5903:4178","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"20","0.390196","192.168.1.2","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"21","0.412783","13.69.109.131","192.168.1.7","TCP","1454","443  >  53663 [ACK] Seq=1 Ack=518 Win=524288 Len=1400 [TCP segment of a reassembled PDU]"
"22","0.412783","13.69.109.131","192.168.1.7","TCP","1454","443  >  53663 [ACK] Seq=1401 Ack=518 Win=524288 Len=1400 [TCP segment of a reassembled PDU]"
